metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1782154878,1.000000,,,,true,,GET,http://localhost:3000/api/users/83,HTTP/1.1,default,,200,,,http://localhost:3000/api/users/83,,
http_req_duration,1782154878,784.695500,,,,true,,GET,http://localhost:3000/api/users/83,HTTP/1.1,default,,200,,,http://localhost:3000/api/users/83,,
http_req_blocked,1782154878,12.397900,,,,true,,GET,http://localhost:3000/api/users/83,HTTP/1.1,default,,200,,,http://localhost:3000/api/users/83,,
http_req_connecting,1782154878,3.092900,,,,true,,GET,http://localhost:3000/api/users/83,HTTP/1.1,default,,200,,,http://localhost:3000/api/users/83,,
http_req_tls_handshaking,1782154878,0.000000,,,,true,,GET,http://localhost:3000/api/users/83,HTTP/1.1,default,,200,,,http://localhost:3000/api/users/83,,
http_req_sending,1782154878,0.000000,,,,true,,GET,http://localhost:3000/api/users/83,HTTP/1.1,default,,200,,,http://localhost:3000/api/users/83,,
http_req_waiting,1782154878,784.137400,,,,true,,GET,http://localhost:3000/api/users/83,HTTP/1.1,default,,200,,,http://localhost:3000/api/users/83,,
http_req_receiving,1782154878,0.558100,,,,true,,GET,http://localhost:3000/api/users/83,HTTP/1.1,default,,200,,,http://localhost:3000/api/users/83,,
http_req_failed,1782154878,0.000000,,,,true,,GET,http://localhost:3000/api/users/83,HTTP/1.1,default,,200,,,http://localhost:3000/api/users/83,,
checks,1782154878,1.000000,status is 200,,,,,,,,default,,,,,,,
data_sent,1782154878,86.000000,,,,,,,,,default,,,,,,,
data_received,1782154878,388.000000,,,,,,,,,default,,,,,,,
iteration_duration,1782154878,798.772800,,,,,,,,,default,,,,,,,
iterations,1782154878,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1782154878,1.000000,,,,true,,GET,http://localhost:3000/api/users/352,HTTP/1.1,default,,200,,,http://localhost:3000/api/users/352,,
http_req_duration,1782154878,11.572300,,,,true,,GET,http://localhost:3000/api/users/352,HTTP/1.1,default,,200,,,http://localhost:3000/api/users/352,,
http_req_blocked,1782154878,0.000000,,,,true,,GET,http://localhost:3000/api/users/352,HTTP/1.1,default,,200,,,http://localhost:3000/api/users/352,,
http_req_connecting,1782154878,0.000000,,,,true,,GET,http://localhost:3000/api/users/352,HTTP/1.1,default,,200,,,http://localhost:3000/api/users/352,,
http_req_tls_handshaking,1782154878,0.000000,,,,true,,GET,http://localhost:3000/api/users/352,HTTP/1.1,default,,200,,,http://localhost:3000/api/users/352,,
http_req_sending,1782154878,0.000000,,,,true,,GET,http://localhost:3000/api/users/352,HTTP/1.1,default,,200,,,http://localhost:3000/api/users/352,,
http_req_waiting,1782154878,11.572300,,,,true,,GET,http://localhost:3000/api/users/352,HTTP/1.1,default,,200,,,http://localhost:3000/api/users/352,,
http_req_receiving,1782154878,0.000000,,,,true,,GET,http://localhost:3000/api/users/352,HTTP/1.1,default,,200,,,http://localhost:3000/api/users/352,,
http_req_failed,1782154878,0.000000,,,,true,,GET,http://localhost:3000/api/users/352,HTTP/1.1,default,,200,,,http://localhost:3000/api/users/352,,
checks,1782154878,1.000000,status is 200,,,,,,,,default,,,,,,,
data_sent,1782154878,87.000000,,,,,,,,,default,,,,,,,
data_received,1782154878,391.000000,,,,,,,,,default,,,,,,,
iteration_duration,1782154878,12.125400,,,,,,,,,default,,,,,,,
iterations,1782154878,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1782154878,1.000000,,,,true,,GET,http://localhost:3000/api/users/156,HTTP/1.1,default,,200,,,http://localhost:3000/api/users/156,,
http_req_duration,1782154878,7.104400,,,,true,,GET,http://localhost:3000/api/users/156,HTTP/1.1,default,,200,,,http://localhost:3000/api/users/156,,
http_req_blocked,1782154878,0.000000,,,,true,,GET,http://localhost:3000/api/users/156,HTTP/1.1,default,,200,,,http://localhost:3000/api/users/156,,
http_req_connecting,1782154878,0.000000,,,,true,,GET,http://localhost:3000/api/users/156,HTTP/1.1,default,,200,,,http://localhost:3000/api/users/156,,
http_req_tls_handshaking,1782154878,0.000000,,,,true,,GET,http://localhost:3000/api/users/156,HTTP/1.1,default,,200,,,http://localhost:3000/api/users/156,,
http_req_sending,1782154878,0.000000,,,,true,,GET,http://localhost:3000/api/users/156,HTTP/1.1,default,,200,,,http://localhost:3000/api/users/156,,
http_req_waiting,1782154878,7.104400,,,,true,,GET,http://localhost:3000/api/users/156,HTTP/1.1,default,,200,,,http://localhost:3000/api/users/156,,
http_req_receiving,1782154878,0.000000,,,,true,,GET,http://localhost:3000/api/users/156,HTTP/1.1,default,,200,,,http://localhost:3000/api/users/156,,
http_req_failed,1782154878,0.000000,,,,true,,GET,http://localhost:3000/api/users/156,HTTP/1.1,default,,200,,,http://localhost:3000/api/users/156,,
checks,1782154878,1.000000,status is 200,,,,,,,,default,,,,,,,
data_sent,1782154878,87.000000,,,,,,,,,default,,,,,,,
data_received,1782154878,391.000000,,,,,,,,,default,,,,,,,
iteration_duration,1782154878,7.657700,,,,,,,,,default,,,,,,,
iterations,1782154878,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1782154878,1.000000,,,,true,,GET,http://localhost:3000/api/users/77,HTTP/1.1,default,,200,,,http://localhost:3000/api/users/77,,
http_req_duration,1782154878,6.646400,,,,true,,GET,http://localhost:3000/api/users/77,HTTP/1.1,default,,200,,,http://localhost:3000/api/users/77,,
http_req_blocked,1782154878,0.000000,,,,true,,GET,http://localhost:3000/api/users/77,HTTP/1.1,default,,200,,,http://localhost:3000/api/users/77,,
http_req_connecting,1782154878,0.000000,,,,true,,GET,http://localhost:3000/api/users/77,HTTP/1.1,default,,200,,,http://localhost:3000/api/users/77,,
http_req_tls_handshaking,1782154878,0.000000,,,,true,,GET,http://localhost:3000/api/users/77,HTTP/1.1,default,,200,,,http://localhost:3000/api/users/77,,
http_req_sending,1782154878,0.000000,,,,true,,GET,http://localhost:3000/api/users/77,HTTP/1.1,default,,200,,,http://localhost:3000/api/users/77,,
http_req_waiting,1782154878,6.062500,,,,true,,GET,http://localhost:3000/api/users/77,HTTP/1.1,default,,200,,,http://localhost:3000/api/users/77,,
http_req_receiving,1782154878,0.583900,,,,true,,GET,http://localhost:3000/api/users/77,HTTP/1.1,default,,200,,,http://localhost:3000/api/users/77,,
