metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1782155971,1.000000,,,,true,,GET,http://localhost:8080/api/simple,HTTP/1.1,default,,200,,,http://localhost:8080/api/simple,,
http_req_duration,1782155971,12.917500,,,,true,,GET,http://localhost:8080/api/simple,HTTP/1.1,default,,200,,,http://localhost:8080/api/simple,,
http_req_blocked,1782155971,10.689900,,,,true,,GET,http://localhost:8080/api/simple,HTTP/1.1,default,,200,,,http://localhost:8080/api/simple,,
http_req_connecting,1782155971,1.073300,,,,true,,GET,http://localhost:8080/api/simple,HTTP/1.1,default,,200,,,http://localhost:8080/api/simple,,
http_req_tls_handshaking,1782155971,0.000000,,,,true,,GET,http://localhost:8080/api/simple,HTTP/1.1,default,,200,,,http://localhost:8080/api/simple,,
http_req_sending,1782155971,0.000000,,,,true,,GET,http://localhost:8080/api/simple,HTTP/1.1,default,,200,,,http://localhost:8080/api/simple,,
http_req_waiting,1782155971,12.917500,,,,true,,GET,http://localhost:8080/api/simple,HTTP/1.1,default,,200,,,http://localhost:8080/api/simple,,
http_req_receiving,1782155971,0.000000,,,,true,,GET,http://localhost:8080/api/simple,HTTP/1.1,default,,200,,,http://localhost:8080/api/simple,,
http_req_failed,1782155971,0.000000,,,,true,,GET,http://localhost:8080/api/simple,HTTP/1.1,default,,200,,,http://localhost:8080/api/simple,,
checks,1782155971,1.000000,status is 200,,,,,,,,default,,,,,,,
data_sent,1782155971,84.000000,,,,,,,,,default,,,,,,,
data_received,1782155971,159.000000,,,,,,,,,default,,,,,,,
iteration_duration,1782155971,24.758900,,,,,,,,,default,,,,,,,
iterations,1782155971,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1782155971,1.000000,,,,true,,GET,http://localhost:8080/api/simple,HTTP/1.1,default,,200,,,http://localhost:8080/api/simple,,
http_req_duration,1782155971,2.141200,,,,true,,GET,http://localhost:8080/api/simple,HTTP/1.1,default,,200,,,http://localhost:8080/api/simple,,
http_req_blocked,1782155971,0.000000,,,,true,,GET,http://localhost:8080/api/simple,HTTP/1.1,default,,200,,,http://localhost:8080/api/simple,,
http_req_connecting,1782155971,0.000000,,,,true,,GET,http://localhost:8080/api/simple,HTTP/1.1,default,,200,,,http://localhost:8080/api/simple,,
http_req_tls_handshaking,1782155971,0.000000,,,,true,,GET,http://localhost:8080/api/simple,HTTP/1.1,default,,200,,,http://localhost:8080/api/simple,,
http_req_sending,1782155971,0.000000,,,,true,,GET,http://localhost:8080/api/simple,HTTP/1.1,default,,200,,,http://localhost:8080/api/simple,,
http_req_waiting,1782155971,2.141200,,,,true,,GET,http://localhost:8080/api/simple,HTTP/1.1,default,,200,,,http://localhost:8080/api/simple,,
